Year,Region,ProvinceCode,Province,Hgender,HAge,HLiterate,HEduYears,HEduLevel,HActivityState,HMarritalState,HEmployed,HUnemployed,HIncomeWOWork,Size,NKids,TotalIncome,EqSizeOECD,EqSizeRevOECD,NetExpenditure,NetIncome,PipedWater,Electricity,CookingFuel,HeatFuel,HotWaterFuel,HouseOwn,RoomCount,Area
92,Rural,1,Guilan,Female,83,0,0,Illiterate,Income without Work,Widowed,0,0,1,1,0,3840000,1,1,8108388,13094388,1,1,4,14,24,House,2,45
92,Rural,10,Isfahan,Female,82,0,0,Illiterate,Housekeeper,Widowed,0,0,0,1,0,1500000,1,1,6704000,9890000,1,1,4,14,25,House,4,60
92,Rural,9,Razavi Khorasan,Female,55,0,0,Illiterate,Income without Work,Widowed,0,0,1,1,0,5400000,1,1,8473588,15854388,1,1,3,11,21,Free,1,25
92,Rural,9,Razavi Khorasan,Female,72,0,0,Illiterate,Income without Work,Widowed,0,0,1,1,0,7400000,1,1,9102388,16054388,1,1,4,14,24,Free,1,30
92,Rural,4,West Azerbaijan,Male,76,0,0,Illiterate,Other,Married,0,0,0,2,0,2000000,1.7,1.5,12528776,17148776,1,1,1,11,21,House,1,25
92,Rural,11,Sistan & Baluchistan,Male,49,0,0,Illiterate,Income without Work,Married,0,0,1,5,1,4200000,3.6,2.8,25940740,44183740,1,1,3,11,21,House,3,65
92,Rural,25,Qom,Female,70,0,0,Illiterate,Income without Work,Widowed,0,0,1,1,0,4800000,1,1,12145000,20940000,1,1,4,14,24,House,3,80
92,Rural,25,Qom,Male,44,1,4,Primary,Income without Work,Bachelor,0,0,1,1,0,4080000,1,1,10727388,17934388,1,1,4,14,24,House,3,50
92,Rural,0,Markazi,Female,75,0,0,Illiterate,Income without Work,Widowed,0,0,1,1,0,6400000,1,1,13261000,15740000,1,1,4,14,24,House,2,35
92,Rural,0,Markazi,Male,28,1,6,Primary,Employed,Married,1,0,0,3,1,29550000,2.2,1.8,17492164,51913164,1,1,4,14,24,Free,2,20
92,Rural,19,Zanjan,Female,30,0,0,Illiterate,Income without Work,Married,0,0,1,1,0,1000000,1,1,12274388,11624388,1,1,1,11,21,Free,1,40
92,Rural,0,Markazi,Male,70,1,3,Primary,Employed,Married,1,0,0,3,0,9400000,2.4,2,24214000,35170000,1,1,4,14,24,House,3,80
92,Rural,25,Qom,Female,70,0,0,Illiterate,Income without Work,Widowed,0,0,1,1,0,19000000,1,1,11976388,31734388,1,1,3,11,23,House,2,60
92,Rural,11,Sistan & Baluchistan,Male,65,0,0,Illiterate,Income without Work,Married,0,0,1,3,1,3600000,2.2,1.8,22020664,28318164,1,1,3,11,25,House,5,160
92,Rural,11,Sistan & Baluchistan,Male,28,1,6,Primary,Unemployed,Married,0,1,0,6,4,12050000,3.7,2.7,31766828,53104328,1,1,3,11,21,Free,1,21
92,Rural,0,Markazi,Female,70,0,0,Illiterate,Income without Work,Married,0,0,1,1,0,7250000,1,1,13351000,17190000,1,1,4,14,24,House,3,50
92,Rural,0,Markazi,Female,59,0,0,Illiterate,Income without Work,Divorced,0,0,1,2,0,11300000,1.7,1.5,19332776,29068776,1,1,4,14,24,House,2,50
92,Rural,12,Kurdistan,Male,28,1,11,Secondary,Employed,Married,1,0,0,2,1,27000000,1.5,1.3,17067576,42208776,1,1,3,11,21,Free,1,20
